tier,basis,case_id,court,date,cause,ruling_quote,cited_statutes,risk,rule_source,flag_for_review
silver,判決關鍵詞抽取(未核對),"SSEV,114,新小,726,20251205,1",,2025-12-05,租賃債務及違約金等,查系 爭租約第21條並未就違約金之性質另行約定，依前揭規定， 應認屬損害賠償總額預定性之違約金，審酌該條約定之違約 金，於承租人主張提前終止租約之情形，應係為填補出租人 因原租約提前終止、於剩餘原定租期內不及重新招租，致受 有租金收入之損失，然重新招租所需時間之久暫、能否與租 約提前終止之日互相銜接，本即取決於當時租屋市場需求、 租屋條件及招租手段等諸多因素，非可一概而論；另觀諸被 告提出兩造間之對話紀錄截圖（新小字卷第109頁至第113頁 ），原告於114年7月16日傳送訊息表示「你說你要住到8月5 號，但是我無法理解，現在才7月15號，為什麼你月底不要 搬走，我沒有辦法租給人家25天，都是,民法第21條,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,1379,20251231,1",,2025-12-31,請求塗銷土地所有權移轉登記等,伊 與吳建興間106年移轉之債權行為及物權行為，吳建興與高 玉慧間112年移轉之債權行為及物權行為，均係規避原住民 保留地開發管理辦法(下稱原保地管理辦法)第18條第1項規 定，使葛洪君以迂迴方式取得系爭土地所為，依民法第71條 規定無效。,民法第18條、民法第71條,high,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,1379,20251231,1",,2025-12-31,請求塗銷土地所有權移轉登記等,其提起之本件訴訟，關 於請求確認其與吳建興間106年移轉系爭土地所有權之債權 行為無效，及依民法第179條、第767條規定，請求吳建興塗 銷所有權登記之訴，係就已有確定判決之同一事件，更行起 訴，違反一事不再理之規定，於法不合。,民法第179條、民法第767條,high,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,1379,20251231,1",,2025-12-31,請求塗銷土地所有權移轉登記等,上訴人於本件主張 ：106年移轉係規避原保地管理辦法第18條第1項規定之脫法 行為而無效，及上訴人等3人成立系爭讓與擔保契約等情， 均屬發生在前訴言詞辯論終結前之攻擊方法，應受前訴判決 既判力之遮斷效所拘束，不得於本件再行提出。,民法第18條,high,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,1779,20251231,1",,2025-12-31,請求塗銷所有權移轉登記等,系爭移轉登記既屬無效，被上訴人依民法第767條第1項 中段規定，請求上訴人塗銷系爭移轉登記，並返還被上訴人 ，應屬有據等情，爰維持第一審所為上訴人敗訴之判決，駁 回上訴人之上訴。,民法第767條,high,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,2181,20251217,1",,2025-12-17,請求不動產所有權移轉登記,又兩造不爭執莊偉騰之印鑑章及系爭土地所 有權狀正本於柯頌霖死亡前，均交柯頌霖保管，莊偉騰於80 年間獲悉405地號土地遭鄰人建屋占用後，亦將此事轉知柯 頌霖，柯頌霖為此以莊偉騰名義撰寫存證信函催告占用者停 工；另依被上訴人提出花蓮土地費用表、領據、兩造間LINE 對話紀錄，可認兩造於105年間共同處理405地號土地遭占用 2.72坪事宜，售價為兩造共同協議，系爭土地先前地價稅由 兩造均攤，嗣以上開所得價款成立公基金，支應管理系爭土 地所需費用，兩造並先於106年11月間各分取10萬元，復於1 07年間多次共同討論出售附表土地；且405地號土地遭占用 時莊偉騰尚未死亡，仍任令其子女與被上訴人商討,,medium,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,2181,20251217,1",,2025-12-17,請求不動產所有權移轉登記,四、按合資契約係雙方共同出資完成一定目的之契約；而合夥乃 二人以上互約出資以經營共同事業之契約，二者均係契約當 事人共同出資，雙方就出資及獲利比例均按約定定之，差異 僅在合夥以經營共同事業為特點，則就性質不相牴觸部分， 非不得類推適用民法合夥之相關規定，以定合資人間之權益 歸屬。,,high,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,2029,20251218,1",,2025-12-18,請求解除契約等,則上訴人於系爭土地所有權移轉登記完畢後，尚餘上開尾款 未付，經催告未果，被上訴人得依前開約定，於110年4月15日 合法解除系爭契約，上訴人無從再向被上訴人撤銷買受系爭土 地之意思表示，兩造並互負回復原狀之義務。,,medium,,Y
silver,判決關鍵詞抽取(未核對),"TPSV,114,台上,2029,20251218,1",,2025-12-18,請求解除契約等,被上訴人另得沒收上訴人已繳價金1500 萬元為違約金，參考內政部公告諸多不動產相關契約範本，關 於違約金均規定以不超過房地總價15%為限，並審酌因上訴人 違約致解約時土地價額低於訂約當時價金，及兩造資力、履約 與違約暨社會經濟等情狀，認約定之違約金過高，應核減為買 賣價金之15%即282萬4050元為適當。,,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,3369,20251229,1",,2025-12-29,遷讓房屋等,（2）被告固辯稱系爭租賃契約已到期，何來違約金之說等語 （見本院訴字卷第111頁），然查，系爭租賃契約既未曾 經解除或被認定為無效，自仍為兩造間合法、有效存在 之契約，其所約定之權利、義務關係仍拘束兩造，不因 系爭租賃契約約定之租賃期限是否屆至而不同。,,high,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,3369,20251229,1",,2025-12-29,遷讓房屋等,其經 債權人起訴而送達訴狀，或依督促程序送達支付命令，或 為其他相類之行為者，與催告有同一之效力；遲延之債務 ，以支付金錢為標的者，債權人得請求依法定利率計算之 遲延利息；應付利息之債務，其利率未經約定，亦無法律 可據者，週年利率為5％，民法第229條第2項、第233條第1 項前段、第203條分別著有明文。,民法第229條、民法第233條、民法第203條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,3369,20251229,1",,2025-12-29,遷讓房屋等,又兩造均陳明願供擔保聲請宣告假執行或免為假執 行，均核無不合，爰依民事訴訟法第390條第2項，酌定相當 之金額准許之，另依民事訴訟法第392條第2項規定，酌定相 當之擔保金額宣告被告預供擔保後，得免為假執行。,民事訴訟法第390條、民事訴訟法第392條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,簡上,359,20251217,2",,2025-12-17,給付租金等,第17條： ⑴租賃期間有下列情形之一，致難以繼續居住，被上 訴人得提前終止租約，且上訴人不得要求任何賠償 ： ②租賃住宅未合於所約定居住使用，並有修繕之必要 ，經被上訴人定相當期限催告，仍不於期限內修繕 。,民法第17條,medium,民法429、430:修繕義務,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,簡上,359,20251217,2",,2025-12-17,給付租金等,㈠按民法第254條係規定，契約當事人之一方遲延給付者，他方 當事人得定相當期限催告其履行，如於期限內不履行時，得 解除其契約。,民法第254條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,簡上,359,20251217,2",,2025-12-17,給付租金等,被上訴人既自承其僅有催告上訴人修繕，但並未 定期限，按諸前開裁判意旨，自難認已符合系爭租約第17條 第1項第2款約定「租賃住宅未合於所約定居住使用，並有修 繕之必要，經被上訴人『定相當期限』催告，仍不於期限內修 繕。,民法第17條,medium,民法429、430:修繕義務,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,重訴,274,20251211,3",,2025-12-11,不動產所有權移轉登記,四、按稱「借名登記」者，謂當事人約定一方將自己之財產以他 方名義登記，而仍由自己管理、使用、處分，他方允就該財 產為出名登記之契約，其成立側重於借名者與出名者間之信 任關係，及出名者與該登記有關之勞務給付，具有不屬於法 律上所定其他契約種類之勞務給付契約性質，應與委任契約 同視，倘其內容不違反強制、禁止規定或公序良俗者，當賦 予無名契約之法律上效力，並依民法第529條規定，適用民 法委任之相關規定（最高法院99年度台上字第1662號裁判意 日參照）。,民法第529條,high,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,重家繼訴,29,20251212,1",,2025-12-12,土地所有權移轉登記,二、被告則以： ㈠戊○○等2人部分：上開臺北地院所屬民間公證人彭莉婷係在新 北市○○區○○街00號為公證，該處非屬臺北地院管轄區域，且 該公證人在系爭公證書上代簽庚○○○姓名及記明事由後，並 未親自簽名，僅蓋印其印章，復未在系爭公證書末頁親自簽 名，而僅蓋印其印章，分別違反公證法第7條第1項、第84條 第3項、第92條第1項之規定，是該公證程序及系爭公證書具 上開瑕疵，不生公證效力，依民法第166條之1規定，系爭甲 贈與契約應屬無效。,民法第7條、民法第84條、民法第92條、民法第166條,high,民法425第2項:買賣不破租賃例外,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,重家繼訴,29,20251212,1",,2025-12-12,土地所有權移轉登記,至上開公證人 在系爭公證書上代書庚○○○姓名及記明事由後，以及在系爭 公證書末頁，雖未親自簽名，然該公證人已在其上分別蓋印 其公證人職章及簽名章乙情，亦有系爭公證書附卷可佐（見 本院卷第32至35頁），揆諸前揭規定，戊○○等2人據此抗辯 系爭公證書無效，是經上開公證人所公證之系爭甲贈與契約 亦應無效，已非有據；況贈與契約僅須有雙方當事人意思表 示之合致，並不以經公證為要件，而戊○○另就此所執民法第 166條之1規定亦尚未施行，是戊○○等2人所辯此節，要難憑 採。,民法第166條,high,民法425第2項:買賣不破租賃例外,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,重家繼訴,29,20251212,1",,2025-12-12,土地所有權移轉登記,查上開臺北地院所屬民間公證人彭莉婷雖係在新北市○○區 ○○街00號，就原告與庚○○○訂立系爭甲贈與契約為公證，然 系爭公證書中業已記載係因庚○○○年邁行動不便，須公證人 外出至住所辦理公證，且該日本院管轄區域內所屬民間公證 人事務所經詢問後，分別因另有行程或時間太趕無法配合， 而由其辦理公證程序等內容，有系爭公證書在卷可參（見本 院卷第34頁），已難逕認該公證程序與上開規定有悖，況依 公證法第7條第2項規定，違反同條第1項規定所作成之公證 文書，其效力不受影響，是戊○○等2人執此抗辯經上開公證 人所公證之系爭甲贈與契約無效，亦非有據。,民法第7條,high,民法425第2項:買賣不破租賃例外,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,原重訴,7,20251231,1",,2025-12-31,不動產所有權移轉登記等,㈢被告朱嘉慧、朱嘉敏則以：系爭遺囑因不符民法代筆遺囑要 式規定而無效，陳泓宇乃為朱陳玉妹之繼承人之一，應回歸 民法第1144條之規定，就繼承朱陳玉妹遺產之應繼分為4分 之1。,民法第1144條,high,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,原重訴,7,20251231,1",,2025-12-31,不動產所有權移轉登記等,縱該簽名為朱 陳玉妹親簽，惟系爭遺囑第5條明載「房屋壹棟由朱泓宇、 朱祐辰共同繼承」，顯見朱陳玉妹欲以繼承方式將系爭不動 產由原告及陳泓宇共同繼承，且就「繼承」二字觀之，朱陳 玉妹應仍留有民間所謂「長孫得繼承祖父母遺產」之觀念， 自無從認定朱陳玉妹生前有系爭遺囑若屬無效，則要以死因 贈與契約之法律行為，將系爭不動產2分之1贈與原告之意思 。,民法第5條,high,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1308,20251226,2",,2025-12-26,遷讓房屋等,雖有法律上之原因，而其後已不存在者，亦同； 受領人於受領時，知無法律上之原因或其後知之者，應將 受領時所得之利益，或知無法律上之原因時所現存之利益 ，附加利息，一併償還，民法第179條、第182條第2項前 段定有明文。,民法第179條、民法第182條,low,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1308,20251226,2",,2025-12-26,遷讓房屋等,至被告辯稱原告請求相當於租金之不當得利應受土地法 第97條限制，惟按土地法第97條規定立法意旨，僅在於對 租賃契約所定租金數額加以規範，並非就無權占有他人房 屋所受利益數額加以規範，是法院於認定無權占有人因不 能返還占有而應償還之價額時，自不受土地法第97 條規 定之限制（臺灣高等法院暨所屬法院113年法律座談會民 事類提案第5號審查意見意旨參照），是被告上開所辯， 亦不足採。,民法第97條,low,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,2907,20251230,1",,2025-12-30,遷讓房屋等,五、原告陳明願供擔保聲請宣告假執行，爰就原告部分依民事訴 訟法第390條第2項酌定相當之擔保金額予以准許，並依民事 訴訟法第392條第2項規定，職權就被告部分酌定相當擔保金 額予以宣告之。,民法第390條、民法第392條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1251,20251209,1",,2025-12-09,遷讓房屋等,若原告得請求不 當得利，請求金額亦屬過高，應以土地法第97條規定並以年 息5%為上限。,民法第97條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1251,20251209,1",,2025-12-09,遷讓房屋等,⒈按無法律上之原因而受利益，致他人受損害者，應返還其利 益；依其利益之性質不能返還者，應償還其價額，民法第17 9條前段、第181條但書分別定有明文，而無權占有他人土地 ，可能獲得相當於租金之利益為社會通常之觀念（最高法院 61年台上字第1695號判決意旨參照）。,民法第181條,low,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1251,20251209,1",,2025-12-09,遷讓房屋等,七、原告陳明願供擔保聲請宣告假執行，爰就原告部分依民事訴 訟法第390條第2項酌定相當之擔保金額予以准許，並依民事 訴訟法第392條第2項規定，職權就被告部分酌定相當擔保金 額予以宣告之。,民法第390條、民法第392條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,審重訴,212,20251224,1",,2025-12-24,不動產所有權移轉登記,詎料，被告於借貸期間屆至後，經原告要求被告償 還借款，被告均置之不理，而據系爭契約第四條第三項之約 定，如被告屆期無法償還系爭契約書所示之本金及利 息， 應將門牌號碼新北市○○區○○○路0段000號17樓之3之房地(下 稱系爭房地)無條件移轉予原告，原告爰依系爭契約第四條 第三項之約定提起本件訴訟，請求被告將系爭房地所有權移 轉登記予原告。,民法第4條,low,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,重訴,693,20251216,1",,2025-12-16,遷讓房屋等,"原告雖稱其已於114年8月19日合法終止兩造系 爭租約，被告應於114年9月19日前將系爭房屋無條件返還 原告，若被告拒絕返還，被告應賠償原告每日7,840元之 違約金云云；然原告顯未依租約行使合法催告手續，故兩 造間租賃關係仍持續存在，被告喬貸有限公司自得依租約 合法使用系爭房屋：按系爭租賃契約第九條規定：「一、 承租人有室內裝修之需要，應經出租人同意並依相關法令 辦理，且不得損害原有建築結構之安全。",民法第9條,medium,民法252 / 內政部公告:違約金上限1個月租金,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,重訴,533,20251230,1",,2025-12-30,所有權移轉登記等,惟被告於搬離合康NEW雪梨社區後，明知其僅係系爭不動 產之借名登記人，未經原告同意，於114年2月24日前某日前 往新北市三重地政事務所，向承辦公務員佯稱系爭不動產所 有權狀遺失為由，向三重地政事務所申請補發權狀後，旋即 於114年2月24日，將系爭不動產設定最高限額抵押權、預告 登記予訴外人唐維順，而向其融資借貸，損害原告合康NEW 雪梨管委會就系爭不動產之權利，爰以本件起訴狀繕本之送 達作為終止原告合康NEW雪梨管委會與被告間就系爭不動產 之借名登記關係，由鈞院擇一依民法第179條或類推適用民 法第541條第2項規定，聲明：被告應將系爭不動產移轉登記 予原告林聖閔。,民法第179條、民法第541條,low,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1471,20251212,2",,2025-12-12,返還租賃房屋等,其經債權人 起訴而送達訴狀，或依督促程序送達支付命令，或為其他相 類之行為者，與催告有同一之效力，民法第229條第1項及第 2項分別定有明文。,民法第229條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1471,20251212,2",,2025-12-12,返還租賃房屋等,㈣原告請求被告連帶給付相當於租金之不當得利，是否有據： ⒈按無法律上之原因而受有利益，致他人受有損害者，應返還 其利益；依其利益之性質不能返還者，應償還其價額，民法 第179條前段及第181條但書分別定有明文。,民法第179條、民法第181條,low,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,簡上,231,20251212,1",,2025-12-12,遷讓房屋等,"雖系爭6樓房屋、系爭房7屋原由王聖中分別出租予上訴 人曾怡容、黃雅珍，並約定每月租依序為新台幣（下同）2 萬元、7,500元，而上訴人並均主張對訴外人王聖中各有100 萬借款債權，彼此已約定以借款債權抵充應付之租金，惟上 訴人實際上均未交付租金予王聖中，此非屬租金之預付，且 基於債之相對性，上訴人與王聖中間以借款債權抵充租金之 約定，不得對抗被上訴人，被上訴人自得依民法第425條第1 項買賣不破租賃之規定，以出租人地位請求上訴人自113年2 月26日起將應給付之租金付給被上訴人，但上訴人均未給付 租金，已積欠租金達2個月以上，被上訴人乃於113年3月28 日以存證信函催告上訴人給付積欠之租金，",民法第425條,medium,民法425第2項:買賣不破租賃例外,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,3303,20251216,1",,2025-12-16,返還租賃房屋等,（五）扣除押租金後，被告已積欠房屋達兩個月以上，原告亦以 存證信函催告被告繳納房租，惟被告仍置之不理，原告另 依民法第440條第1、2項及土地法第100條第3款向被告終 止原告間之租賃契約。,民法第440條、民法第100條,medium,內政部公告:押金上限2個月租金,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,3303,20251216,1",,2025-12-16,返還租賃房屋等,本件原告主張被告自114年2月起 ，迄今已有9個月租金未支付，扣除2個月之押租金後，被 告所積欠之租金已超過2個月，前經原告於114年6月9日以 存證信函催告被告清償租金，未獲得被告清償，原告又於 114年6月20日以存證信函通知被告終止系爭租賃契約，並 提出存證信函及存摺影本以為證據，其此部分主張應屬可 採。,,medium,內政部公告:押金上限2個月租金,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,3303,20251216,1",,2025-12-16,返還租賃房屋等,肆、假執行之宣告：原告陳明願預供擔保聲請宣告假執行，就原 告勝訴部分，經核無不合，爰酌定相當之擔保金額就原告勝 訴部分准許之；被告部分依民事訴訟法第392條第2項規定， 依職權宣告被告於預供擔保後，免為假執行。,民事訴訟法第392條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,訴更一,3,20251216,1",,2025-12-16,減少買賣價金,"（三）被告應對原告負物之瑕疵擔保責任，原告已對被告行使減 少價金之形成權，故原告依民法第179條規定請求被告返 還1,608,000元。",民法第179條,medium,民法354 / 359:瑕疵擔保,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,訴更一,3,20251216,1",,2025-12-16,減少買賣價金,另買受人 因買賣標的存有瑕疵而請求減少價金者，其本質為不完全 給付損害賠償之一種，此觀同法第360條規定自明（最高 法院89年度台上字第30號民事裁判參照）。,民法第360條,medium,民法354 / 359:瑕疵擔保,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,訴更一,3,20251216,1",,2025-12-16,減少買賣價金,參、假執行之宣告：本件原告勝訴部分，係所命給付之金額或價 額未逾新臺幣50萬元之判決，該原告勝訴部分應依民事訴訟 法第389條第1項第5款規定，依職權宣告假執行；被告陳明 願預供擔保免為假執行，就原告勝訴部分，經核無不合，爰 酌定相當之擔保金額就原告勝訴部分准許之；至於原告其餘 假執行之聲請，因該部分訴之駁回而失所附麗，應併予駁回 。,民法第389條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,787,20251231,1",,2025-12-31,給付租金等,"㈥綜上，兩造間之系爭租約業已終止，被告既繼受寶兒補習班 之一切權利義務，自有將系爭房屋回復原狀之義務，經原告 催告被告給付系爭租金等費用11萬7,371元、拆除費用51萬2 ,400元、律師費6萬元等，被告仍未給付，原告於扣除押租 金9萬元後，爰依系爭租約第3、6、9、12、15、20條等約定 及民法第179條規定，請求被告給付原告59萬9,771元（計算 式：11萬7,371元＋51萬2,400元＋6萬元–9萬元＝59萬9,771元 ）等語。",民法第179條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,787,20251231,1",,2025-12-31,給付租金等,"五、本院之判斷： 原告主張於109年10月1日與被告簽訂系爭租約，將系爭房屋 出租予被告，約定租賃期間自109年10月1日起至114年10月3 1日止，嗣原告於113年10月18日以東湖郵局存證信函向被告 表示系爭租約於113年10月16日終止，兩造間系爭租約既已 終止，被告自有將系爭房屋回復原狀之義務，經原告催告被 告給付系爭租金等費用11萬7,371元、拆除費用51萬2,400元 、律師費6萬元等，被告仍未給付，原告於扣除押租金9萬元 後，爰依系爭租約第3、6、9、12、15、20條等約定及民法 第179條規定，請求被告給付原告59萬9,771元（計算式：11 萬7,371元＋51萬2,4",民法第179條、民法第6條,medium,內政部公告:押金上限2個月租金,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,重訴,782,20251231,1",,2025-12-31,塗銷所有權移轉登記等,而被告林宏道調閱 系爭不動產之謄本即知悉系爭不動產遭假處分，仍基於通謀 而虛偽意思之表示與被告晉騏公司、蔡宛靜等3人買賣如系 爭不動產，並完成移轉登記，渠等間之買賣契約，依民法第 87條第1項、第113條，渠等法律行為應屬無效。,民法第87條、民法第113條,high,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,113,重訴,782,20251231,1",,2025-12-31,塗銷所有權移轉登記等,⑵按契約當事人之一方遲延給付者，他方當事人得定相當期限 催告其履行，如於期限內不履行時，得解除其契約，民法第 254條定有明文。,民法第254條,medium,,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1448,20251226,1",,2025-12-26,減少買賣價金等,三、得心證之理由： （一）按買賣因物有瑕疵，而出賣人依前5條之規定，應負擔保 之責者，買受人得解除其契約或請求減少其價金，民法第 359條本文定有明文，又按因可歸責於債務人之事由，致 為不完全給付者，債權人得依關於給付遲延或給付不能之 規定行使其權利；債務人因債務不履行，致債權人之人格 權受侵害者，準用第192條至第195條及第197條之規定， 負損害賠償責任；不法侵害他人之身體、健康、名譽、自 由、信用、隱私、貞操，或不法侵害其他人格法益而情節 重大者，被害人雖非財產上之損害，亦得請求賠償相當之 金額，民法第227條第1項、第227條之1、第195條第1項前 段亦定有明文。,民法第359條、民法第192條、民法第195條、民法第197條、民法第227條,medium,民法354 / 359:瑕疵擔保,Y
silver,判決關鍵詞抽取(未核對),"PCDV,114,訴,1448,20251226,1",,2025-12-26,減少買賣價金等,（二）惟按物之出賣人就出賣標的物所負物之瑕疵擔保責任，以 該瑕疵於「危險移轉時」存在者為限，此觀民法第354條 規定自明。,民法第354條,medium,民法354 / 359:瑕疵擔保,Y
